plotWaterfallLoop.solID,plotWaterfallLoop.rn,plotWaterfallLoop.coef,plotWaterfallLoop.xDecompAgg,plotWaterfallLoop.xDecompPerc,plotWaterfallLoop.xDecompMeanNon0,plotWaterfallLoop.xDecompMeanNon0Perc,plotWaterfallLoop.xDecompAggRF,plotWaterfallLoop.xDecompPercRF,plotWaterfallLoop.xDecompMeanNon0RF,plotWaterfallLoop.xDecompMeanNon0PercRF,plotWaterfallLoop.pos,plotWaterfallLoop.spend_share_refresh,plotWaterfallLoop.effect_share_refresh,plotWaterfallLoop.mape,plotWaterfallLoop.nrmse,plotWaterfallLoop.decomp.rssd,plotWaterfallLoop.rsq_train,plotWaterfallLoop.lambda,plotWaterfallLoop.lambda_hp,plotWaterfallLoop.lambda_max,plotWaterfallLoop.iterPar,plotWaterfallLoop.iterNG,plotWaterfallLoop.df.int,plotWaterfallLoop.trial,plotWaterfallLoop.iterations,plotWaterfallLoop.robynPareto,plotWaterfallLoop.total_spend,plotWaterfallLoop.mean_spend,plotWaterfallLoop.spend_share,plotWaterfallLoop.effect_share,plotWaterfallLoop.roi_mean,plotWaterfallLoop.roi_total,plotWaterfallLoop.cpa_total,plotWaterfallLoop.end,plotWaterfallLoop.start,plotWaterfallLoop.id,plotWaterfallLoop.sign
1_158_11,trend,-0.8880022909276395,-245766614.378975,-1.488693069124599,0,0,-245766614.378975,-1.488693069124599,0,0,FALSE,NA,NA,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,NA,NA,NA,NA,NA,NA,NA,2.488693069124599,1,1,neg
1_158_11,season,0.3346560218118298,-2696656.409864285,-0.01633457708370832,-29311.482715916143,-0.0049213841538383075,-2696656.409864285,-0.01633457708370832,-29311.482715916143,-0.0049213841538383075,FALSE,NA,NA,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,NA,NA,NA,NA,NA,NA,NA,2.5050276462083074,2.488693069124599,2,neg
1_158_11,facebook_S,15272.22153216745,261277.45805034804,0.001582647593941553,2839.9723701124785,4.7683002443342374e-4,261277.45805034804,0.001582647593941553,2839.9723701124785,4.7683002443342374e-4,TRUE,0.18182767511708783,0.013865046297145538,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,5988890.411909294,136111.14572521125,0.18182767511708783,0.013865046297145538,0.0356853964985008,0.04362702271705974,22.9215733213205,2.5034449986143654,2.5050276462083074,3,pos
1_158_11,events,1.0276450899757557,1242256.280618981,0.007524774346210745,1242256.280618981,0.20857424490248216,1242256.280618981,0.007524774346210745,1242256.280618981,0.20857424490248216,TRUE,NA,NA,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,NA,NA,NA,NA,NA,NA,NA,2.495920224268155,2.5034449986143654,4,pos
1_158_11,search_S,126328.59612747436,2208889.8339154366,0.013380006859430504,24009.672107776485,0.004031212647796334,2208889.8339154366,0.013380006859430504,24009.672107776485,0.004031212647796334,TRUE,0.11132101403267616,0.11721776551664845,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,3666600,47618.181818181816,0.11132101403267616,0.11721776551664845,0.568308700015449,0.6024354535306379,1.659928867299214,2.4825402174087245,2.495920224268155,5,pos
1_158_11,print_S,246127.23053681085,3446706.86067868,0.020877891115366698,37464.20500737696,0.0062902223898533335,3446706.86067868,0.020877891115366698,37464.20500737696,0.0062902223898533335,TRUE,0.0848043521333921,0.18290422201975873,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,2793215.999999999,77589.33333333331,0.0848043521333921,0.18290422201975873,1.27765565370926,1.2339564361219042,0.8104013810591354,2.461662326293358,2.4825402174087245,6,pos
1_158_11,holiday,1.1263798962549363,5062308.154720414,0.03066414485445234,316394.2596700259,0.05312244730151312,5062308.154720414,0.03066414485445234,316394.2596700259,0.05312244730151312,TRUE,NA,NA,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,NA,NA,NA,NA,NA,NA,NA,2.4309981814389054,2.461662326293358,7,pos
1_158_11,ooh_S,193216.8096460023,5933755.340425824,0.03594280074002068,64497.34065680244,0.010829073143431999,5933755.340425824,0.03594280074002068,64497.34065680244,0.010829073143431999,TRUE,0.31091115795508795,0.31488285719269704,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,10240536,262577.8461538461,0.31091115795508795,0.31488285719269704,0.347449468384365,0.5794379650074785,1.7258102858122069,2.395055380698885,2.4309981814389054,8,pos
1_158_11,tv_S,375309.3797462905,6993696.91239858,0.04236323207427706,76018.44469998457,0.012763461090379869,6993696.91239858,0.04236323207427706,76018.44469998457,0.012763461090379869,TRUE,0.311135800761756,0.37113010897375026,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,10247935.1,256198.3775,0.311135800761756,0.37113010897375026,0.595908056555923,0.6824493758160686,1.4653101540377356,2.352692148624608,2.395055380698885,9,pos
1_158_11,newsletter,351445.92815028544,7258274.458179412,0.04396586943674062,78894.28758890666,0.013246313758040541,7258274.458179412,0.04396586943674062,78894.28758890666,0.013246313758040541,TRUE,NA,NA,0,0.0529004087337973,0.20367840396704134,0.9463360536139952,28067.64232738084,3.286702372748973e-4,65481090.25336257,11,158,1,1,1895,1,NA,NA,NA,NA,NA,NA,NA,2.308726279187867,2.352692148624608,10,pos
