plotMediaShareLoopBar.rn,plotMediaShareLoopBar.nrmse,plotMediaShareLoopBar.decomp.rssd,plotMediaShareLoopBar.rsq_train,plotMediaShareLoopBar.variable,plotMediaShareLoopBar.value,plotMediaShareLoopLine.rn,plotMediaShareLoopLine.nrmse,plotMediaShareLoopLine.decomp.rssd,plotMediaShareLoopLine.rsq_train,plotMediaShareLoopLine.variable,plotMediaShareLoopLine.value,ySecScale
facebook_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,spend_share,0.18182767511708783,facebook_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.04362702271705974,3.657348317783883
ooh_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,spend_share,0.31091115795508795,ooh_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.5794379650074785,3.657348317783883
print_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,spend_share,0.0848043521333921,print_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,1.2339564361219042,3.657348317783883
search_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,spend_share,0.11132101403267616,search_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.6024354535306379,3.657348317783883
tv_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,spend_share,0.311135800761756,tv_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.6824493758160686,3.657348317783883
facebook_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,effect_share,0.013865046297145538,facebook_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.04362702271705974,3.657348317783883
ooh_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,effect_share,0.31488285719269704,ooh_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.5794379650074785,3.657348317783883
print_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,effect_share,0.18290422201975873,print_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,1.2339564361219042,3.657348317783883
search_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,effect_share,0.11721776551664845,search_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.6024354535306379,3.657348317783883
tv_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,effect_share,0.37113010897375026,tv_S,0.0529004087337973,0.20367840396704134,0.9463360536139952,roi_total,0.6824493758160686,3.657348317783883
