ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_S,search_S,newsletter,intercept,depVarHat,solID
2016-11-21,2964696.66666667,-2650424.48665078,386555.320490601,0,1622706.51123952,0,118039.064188512,96227.818649407,56314.0271755919,6891.35519645619,0.00000330027530693187,81909.3043672545,3186760.66143879,2904979.57609865,1_158_11
2016-11-28,2848525,-2651278.92169897,313678.839778187,0,1677467.97253065,0,24128.5694431572,66856.430801364,26099.873025686,6149.20650184284,53300.2131132145,103898.138054779,3186760.66143879,2807060.9829887,1_158_11
2016-12-05,2740160,-2652133.35586749,245104.49383512,0,1479842.4225719,0,66544.6112105791,109373.560758067,240.840214557355,4006.60169197965,44971.7046428031,161245.959605684,3186760.66143879,2645957.500102,1_158_11
2016-12-12,2380508.33333333,-2652987.79003601,229628.801848045,0,1420544.65774041,0,11733.954293153,79269.0993501542,1.99059756727824,4391.12764501911,36079.2291946195,109514.879338011,3186760.66143879,2424936.61140976,1_158_11
2016-12-19,2230915,-2653842.22420453,260629.291747154,-355908.791036467,1280890.41447072,0,1805.13683981174,119221.426893275,0.0164368940168622,2762.35350902255,32189.476319224,44582.5332518433,3186760.66143879,1919090.29566574,1_158_11
2016-12-26,3659425,-2654696.65837305,285780.668600447,1156067.82019618,1389240.89254392,0,308211.186044039,89293.1556329427,0.000135722729816858,6543.76934184097,39191.3927508576,11989.8412007185,3186760.66143879,3818382.72951241,1_158_11
2017-01-02,2827008.33333333,-2655551.09254157,262356.985807681,0,1347543.81292503,0,268788.538277488,127565.537933554,223545.334242623,5820.20390107886,36241.9779546172,131622.180906891,3186760.66143879,2934694.14084619,1_158_11
2017-01-09,2042143.33333333,-2656405.52671009,196627.250909955,0,1224831.78817863,0,102925.378188681,98326.0078314695,18598.3546471547,6223.57312001674,33750.7012896415,103463.623691832,3186760.66143879,2315101.81258608,1_158_11
2017-01-16,2113358.33333333,-2657259.96022611,129049.503572041,0,1204255.06356231,0,48166.6326869993,68768.2765757034,2956.84386235503,6547.16502936905,30613.6257801501,128181.903643598,3186760.66143879,2148039.7159252,1_158_11
2017-01-23,2179918.33333333,-2658114.39374213,89427.5131846694,0,1257633.09784076,0,8096.39591311044,43977.9005653632,111676.232081968,6835.80892794697,33022.4071131414,80680.6549092502,3186760.66143879,2159996.27823287,1_158_11
2017-01-30,2370613.33333333,-2658968.82725816,73431.0742622589,0,1275478.012374,0,182698.657926108,26239.9385960858,1676.56634866314,5909.0906029238,34945.988168788,102160.527135089,3186760.66143879,2230331.68959455,1_158_11
2017-02-06,1814556.66666667,-2659823.26077418,58526.9572351306,0,1087023.55195936,0,46679.5441756915,14940.153003595,13.9379016751368,2340.07204565644,21637.6415139096,40708.0883658333,3186760.66143879,1798807.34686546,1_158_11
2017-02-13,1951668.33333333,-2660677.6942902,31270.242982724,0,1130463.84306472,0,7816.8689070698,88769.9277377273,0.115094505183505,6929.74071683756,0.420197997786366,67822.1663824585,3186760.66143879,1859156.29223262,1_158_11
2017-02-20,1918238.33333333,-2661532.12780623,-5936.97826383229,0,1103010.59841557,0,1191.67359732081,60260.564636541,104565.008136584,2937.67592297912,0.00000676251770615918,75959.2064037701,3186760.66143879,1867216.28248826,1_158_11
2017-02-27,1472390,-2662386.56132225,-46838.9244522222,0,862989.605968201,0,178.935324250717,37610.2642750913,1492.07506880928,8669.25650480541,13417.1988477436,98519.47466717,3186760.66143879,1500411.98632039,1_158_11
2017-03-06,1477865,-2663236.57149196,-88667.1215308615,0,842626.379830843,0,26.8063009972915,22060.9569467686,152384.451632567,4176.81356925927,14781.2329974437,64651.6398878676,3186760.66143879,1535565.24958172,1_158_11
2017-03-13,1300166.66666667,-2664086.58166167,-126877.603312657,0,740293.036498891,0,33042.3305296543,12426.8476648564,3259.90338342771,1487.81473939035,11884.9292853986,93778.151298949,3186760.66143879,1291969.48986503,1_158_11
2017-03-20,1160205,-2664936.59183138,-152960.286111108,0,650266.94597397,0,5348.42840665346,6832.05138950246,198215.732960412,458.443243024376,9305.65632952559,93305.9489825562,3186760.66143879,1332596.99078195,1_158_11
2017-03-27,1356871.66666667,-2665786.60200109,-165657.403183146,0,804544.756777409,0,810.746821273486,45857.2644922696,8130.22694597708,3435.37723645991,15636.6106968381,103161.104844427,3186760.66143879,1336892.74406921,1_158_11
2017-04-03,1355833.33333333,-2666636.6121708,-180195.814501883,0,812909.655937144,0,121.632150108967,27500.967277495,69.4066623781237,1173.23585770058,14095.7984306874,32276.9839688794,3186760.66143879,1228075.91505051,1_158_11
2017-04-10,1176266.66666667,-2667486.6223405,-215394.350269828,27753.48151892,666940.134848259,0,18.2193462906085,127729.185002806,0.573265013754694,355.892129678915,8750.37104417446,10226.1692761154,3186760.66143879,1145653.71525972,1_158_11
2017-04-17,1955281.66666667,-2668336.63251021,-267749.560995072,1097368.70833234,549540.232609964,0,20008.9125587286,98508.4278317401,0.00473357479007002,103.766395198713,8076.17067612681,35049.9635537178,3186760.66143879,2059330.65462489,1_158_11
2017-04-24,1029928.33333333,-2669159.66466514,-306325.077608397,0,594730.564277724,0,3138.59088710555,118618.210216815,0.0000390860743730012,29.8968578476494,6702.58218077066,61553.0598296619,3186760.66143879,996048.82345426,1_158_11
2017-05-01,2263143.33333333,-2669982.69682008,-303094.398775027,398213.499508041,508022.685802933,0,166257.251436024,88659.9290483728,0.000000322741532297817,8.58403226671144,3961.05161365192,33149.225315688,3186760.66143879,1411955.79260099,1_158_11
